The Handmaid's Tale;Margaret Atwood;CLASSIC
The Alchemist;Paulo Coelho;CLASSIC
Murder on the Orient Express;Agatha Christie;CLASSIC
Animal Farm;George Orwell;CLASSIC
The Little Prince;Antoine de Saint-Exupery;CLASSIC
1984;George Orwell;CLASSIC
The Great Gatsby;Scott Fitsgerald;CLASSIC
The Stranger;Albert Camus;CLASSIC
The Catcher in the Rye;J.D.Salinger;CLASSIC
The Metamorphosis;Franz Kafka;CLASSIC
Herding Cats;Sarah Anderson;COMICS
Brazen: Rebel Ladies Who Rocked the World;Penelope Bagieu;COMICS
Pierce Brown's Red Rising:Sons of Ares;Pierce Brown;COMICS
The Walking Dead;Robert Kirkman;COMICS
Archival Quality;Ivy Noelle Weir;COMICS
Giant Days;John Allison;COMICS
Afterlife with Archie;Roberto Arguirre-Sacasa;COMICS
Sci-Fu;Yehudi Mercado;COMICS
Star Trek;Scott Tipton;COMICS
Spirit's Bloom;Brandon Santiago;COMICS
Children of Blood and Bone;Tomi Adeyemi;FANTASY
To Kill a Kingdom;Alexandra Christo;FANTASY
Tiger's Dream;Colleen Houck;FANTASY
The Astonishing Color of After;Emily X.R. Pan;FANTASY
The Wicked Deep;Shea Ernshaw;FANTASY
The Continent;Keira Drake;FANTASY
The Queens of Innis Lear;Tessa Gratton;FANTASY
Lake Silence;Anne Bishop;FANTASY
Aru Shah and the End of Time;Roshani Chokshi;FANTASY
Ice Wolves;Amie Kaufman;FANTASY
The Broken Girls;Simone St. James;MYSTERY
Macbeth;Jo Nesbo;MYSTERY
Tangerine;Christine Mangan;MYSTERY
The Last Equation of Issac Severy;Nova Jacobs;MYSTERY
The Punishment She Deserves;Elizabeth George;MYSTERY
The Case for Jamie;Brittany Cavallaro;MYSTERY
Rainbirds;Clarissa Goenawan;MYSTERY
To Die but Once;Jacqueline Winspear;MYSTERY
Murder Notes;Lisa Renee Jones;MYSTERY
The Echo Killing;Christi Daugherty;MYSTERY
Ruin;Samantha Towle;SPORTS
Long Shot;Kennedy Ryan;SPORTS
Fake Out;Eden Finley;SPORTS
Switch Hitter;Sara Ney;SPORTS
Undone By You;Kate Meader;SPORTS
After The Shot Drops;Randy Ribay;SPORTS
And She Was;Jessica Verdi;SPORTS
Worth Every Risk;Terri E. Laine;SPORTS
Bad Business;Nicole Edwards;SPORTS
Taking it Slow;Jordan Marie;SPORTS
The Merry Spinster;Mallory Ortberg;HORROR
The Hunger;Alma Katsu;HORROR
The Invasion;Peadar O Guilin;HORROR
Glimpse;Jonathan Maberry;HORROR
The Walking Dead;Robert Kirkman;HORROR
The Wild Inside;Jamey Bradburry;HORROR
The Past is Never;Tiffany Quay Tyson;HORROR
Into the Thinnest of Air;Simon R. Green;HORROR
Coming to You Live;Mira Grant;HORROR
The Shape of Water;Guillermo del Toro;HORROR
Marriage of Inconvenience;Penny Reid;ROMANCE
Wanderlust;Lauren Blakely;ROMANCE
In Search of Us;Ava Dellaira;ROMANCE
Inkmistress;Audrey Coulthrust;ROMANCE
Emergency Contact;Mary H.K. Choi;ROMANCE
Pestilence;Laura Thalassa;ROMANCE
The Price Guide to the Occult;Leslye Walton;ROMANCE
The Prophesy;Jennifer L. Armentrout;ROMANCE
Long Shot;Kennedy Ryan;ROMANCE
More Then We Can Tell;Brigid Kemmerer;ROMANCE
Obsido;Amie Kaufman;SCI-FI
The Final Six;Alexandra Monir;SCI-FI
The Last Jedi;Jason Fry;SCI-FI
Defy the Worlds;Claudia Gray;SCI-FI
Pacifica;Kristen Simmons;SCI-FI
The Feed;Nick Clark Windo;SCI-FI
The Wild Robor Escapes;Peter Brown;SCI-FI
Defective;Autumn Kalquist;SCI-FI
Genesis;Brendan Reichs;SCI-FI
Gods, Monsters, and the Lucky Peach;Kelly Robson;SCI-FI
The Sun Does Shoine;Anthony Ray Hinton;NON-FICTION
Bachelor Nation;Amy Kaufman;NON-FICTION
Russian Roulette;Michael Isikoff;NON-FICTION
The Woman's Hour;Elaine F. Weiss;NON-FICTION
Ask Me About My Uterus;Abby Norman;NON-FICTION
How I Resist;Maureen Johnson;NON-FICTION
Brazen;Penelope Bagieu;NON-FICTION
Tomorrow Will Be Different;Sarah McBride;NON-FICTION
The Read-Aloud Family;Sarah Mackenzie;NON-FICTION
The Manson Woman and Me;Nikki Meredith;NON-FICTION
Aru Shah and the End of Time;Roshani Chokshi;NON-FICTION
Oliver Twist;Lorie Langdon;CHILDREN
A Day in the Life of Marlon Bundo;Jill Twiss;CHILDREN
The Night Diary;Veera Hiranandani;CHILDREN
After the Shot Drops;Randy Ribay;CHILDREN
P. S. I miss You;Jen Petro-Roy;CHILDREN
The Parker Inheritance;Varian Johnson;CHILDREN
The Sky at Our Feet;Nadia Hashimi;CHILDREN
Fairy Mom and me;Sophie Kinsella;CHILDREN
The Mad Wolf's Daughter;Diane Magras;CHILDREN
